,Year,Player,League
0,2022,Aaron Judge,AL
1,2022,Paul Goldschmidt,NL
2,2021,Shohei Ohtani,AL
3,2021,Bryce Harper,NL
4,2020,José Abreu,AL
5,2020,Freddie Freeman,NL
6,2019,Mike Trout,AL
7,2019,Cody Bellinger,NL
8,2018,Mookie Betts,AL
9,2018,Christian Yelich,NL
10,2017,Jose Altuve,AL
11,2017,Giancarlo Stanton,NL
12,2016,Mike Trout,AL
13,2016,Kris Bryant,NL
14,2015,Josh Donaldson,AL
15,2015,Bryce Harper,NL
16,2014,Mike Trout,AL
17,2014,Clayton Kershaw,NL
18,2013,Miguel Cabrera,AL
19,2013,Andrew McCutchen,NL
20,2012,Miguel Cabrera,AL
21,2012,Buster Posey,NL
22,2011,Justin Verlander,AL
23,2011,Ryan Braun,NL
24,2010,Josh Hamilton,AL
25,2010,Joey Votto,NL
26,2009,Joe Mauer,AL
27,2009,Albert Pujols,NL
28,2008,Dustin Pedroia,AL
29,2008,Albert Pujols,NL
30,2007,Alex Rodriguez,AL
31,2007,Jimmy Rollins,NL
32,2006,Justin Morneau,AL
33,2006,Ryan Howard,NL
34,2005,Alex Rodriguez,AL
35,2005,Albert Pujols,NL
36,2004,Vladimir Guerrero,AL
37,2004,Barry Bonds,NL
38,2003,Alex Rodriguez,AL
39,2003,Barry Bonds,NL
40,2002,Miguel Tejada,AL
41,2002,Barry Bonds,NL
42,2001,Ichiro Suzuki,AL
43,2001,Barry Bonds,NL
44,2000,Jason Giambi,AL
45,2000,Jeff Kent,NL
46,1999,Ivan Rodriguez,AL
47,1999,Chipper Jones,NL
48,1998,Juan Gonzalez,AL
49,1998,Sammy Sosa,NL
50,1997,Ken Griffey Jr.,AL
51,1997,Larry Walker,NL
52,1996,Juan Gonzalez,AL
53,1996,Ken Caminiti,NL
54,1995,Mo Vaughn,AL
55,1995,Barry Larkin,NL
56,1994,Frank Thomas,AL
57,1994,Jeff Bagwell,NL
58,1993,Frank Thomas,AL
59,1993,Barry Bonds,NL
60,1992,Dennis Eckersley,AL
61,1992,Barry Bonds,NL
62,1991,Cal Ripken Jr.,AL
63,1991,Terry Pendleton,NL
64,1990,Rickey Henderson,AL
65,1990,Barry Bonds,NL
66,1989,Robin Yount,AL
67,1989,Kevin Mitchell,NL
68,1988,Jose Canseco,AL
69,1988,Kirk Gibson,NL
70,1987,George Bell,AL
71,1987,Andre Dawson,NL
72,1986,Roger Clemens,AL
73,1986,Mike Schmidt,NL
74,1985,Don Mattingly,AL
75,1985,Willie McGee,NL
76,1984,Willie Hernandez,AL
77,1984,Ryne Sandberg,NL
78,1983,Cal Ripken Jr.,AL
79,1983,Dale Murphy,NL
80,1982,Robin Yount,AL
81,1982,Dale Murphy,NL
82,1981,Rollie Fingers,AL
83,1981,Mike Schmidt,NL
84,1980,George Brett,AL
85,1980,Mike Schmidt,NL
86,1979,Don Baylor,AL
87,1979,Keith Hernandez,NL
88,1979,Willie Stargell,NL
89,1978,Jim Rice,AL
90,1978,Dave Parker,NL
91,1977,Rod Carew,AL
92,1977,George Foster,NL
93,1976,Thurman Munson,AL
94,1976,Joe Morgan,NL
95,1975,Fred Lynn,AL
96,1975,Joe Morgan,NL
97,1974,Jeff Burroughs,AL
98,1974,Steve Garvey,NL
99,1973,Reggie Jackson,AL
100,1973,Pete Rose,NL
101,1972,Dick Allen,AL
102,1972,Johnny Bench,NL
103,1971,Vida Blue,AL
104,1971,Joe Torre,NL
105,1970,Boog Powell,AL
106,1970,Johnny Bench,NL
107,1969,Harmon Killebrew,AL
108,1969,Willie McCovey,NL
109,1968,Denny McLain,AL
110,1968,Bob Gibson,NL
111,1967,Carl Yastrzemski,AL
112,1967,Orlando Cepeda,NL
113,1966,Frank Robinson,AL
114,1966,Roberto Clemente,NL
115,1965,Zoilo Versalles,AL
116,1965,Willie Mays,NL
117,1964,Brooks Robinson,AL
118,1964,Ken Boyer,NL
119,1963,Elston Howard,AL
120,1963,Sandy Koufax,NL
121,1962,Mickey Mantle,AL
122,1962,Maury Wills,NL
123,1961,Roger Maris,AL
124,1961,Frank Robinson,NL
125,1960,Roger Maris,AL
126,1960,Dick Groat,NL
127,1959,Nellie Fox,AL
128,1959,Ernie Banks,NL
129,1958,Jackie Jensen,AL
130,1958,Ernie Banks,NL
131,1957,Mickey Mantle,AL
132,1957,Henry Aaron,NL
133,1956,Mickey Mantle,AL
134,1956,Don Newcombe,NL
