Name,Games,Wins,Losses,Win%
Keldon Johnson,3,1,2,0.333
Cedi Osman,3,1,2,0.333
Julian Champagnie,3,1,2,0.333
Jeremy Sochan,3,1,2,0.333
Devin Vassell,3,1,2,0.333
Tre Jones,3,1,2,0.333
Malaki Branham,3,1,2,0.333
Doug McDermott,3,1,2,0.333
Sandro Mamukelashvili,3,1,2,0.333
Jordan Clarkson,3,0,3,0.000
Royce O'Neale,3,0,3,0.000
Donovan Mitchell,3,0,3,0.000
Harrison Barnes,2,2,0,1.000
De'Aaron Fox,2,2,0,1.000
JaVale McGee,2,2,0,1.000
Davion Mitchell,2,2,0,1.000
Richaun Holmes,2,2,0,1.000
Jerami Grant,2,1,1,0.500
Malcolm Brogdon,2,1,1,0.500
Scoot Henderson,2,1,1,0.500
Victor Wembanyama,2,1,1,0.500
Moses Brown,2,1,1,0.500
Zach Collins,2,1,1,0.500
Blake Wesley,2,1,1,0.500
Kevin Durant,2,1,1,0.500
Nassir Little,2,1,1,0.500
Toumani Camara,2,1,1,0.500
Hassan Whiteside,2,1,1,0.500
Skylar Mays,2,1,1,0.500
Ibou Badji,2,1,1,0.500
Jabari Walker,2,1,1,0.500
Matisse Thybulle,2,1,1,0.500
Dominick Barlow,2,0,2,0.000
Mike Conley,2,0,2,0.000
Joe Ingles,2,0,2,0.000
Bojan Bogdanović,2,0,2,0.000
Rudy Gobert,2,0,2,0.000
Clint Capela,1,1,0,1.000
Zaza Pachulia,1,1,0,1.000
Saddiq Bey,1,1,0,1.000
Jordan Bell,1,1,0,1.000
Nick Young,1,1,0,1.000
Dejounte Murray,1,1,0,1.000
Jalen Johnson,1,1,0,1.000
Patrick McCaw,1,1,0,1.000
Trae Young,1,1,0,1.000
Kessler Edwards,1,1,0,1.000
Andre Iguodala,1,1,0,1.000
Chris Duarte,1,1,0,1.000
Shaun Livingston,1,1,0,1.000
Draymond Green,1,1,0,1.000
Bogdan Bogdanović,1,1,0,1.000
Omri Casspi,1,1,0,1.000
Carmelo Anthony,1,1,0,1.000
Trevor Ariza,1,1,0,1.000
Gary Trent Jr.,1,1,0,1.000
Anfernee Simons,1,1,0,1.000
Caleb Swanigan,1,1,0,1.000
Wenyen Gabriel,1,1,0,1.000
Garrison Mathews,1,1,0,1.000
Onyeka Okongwu,1,1,0,1.000
Klay Thompson,1,1,0,1.000
Juan Toscano-Anderson,1,1,0,1.000
Trey Lyles,1,1,0,1.000
Sasha Vezenkov,1,1,0,1.000
David West,1,1,0,1.000
Keon Ellis,1,1,0,1.000
Kevon Looney,1,1,0,1.000
Malik Monk,1,1,0,1.000
Kevin Huerter,1,1,0,1.000
Keegan Murray,1,1,0,1.000
Domantas Sabonis,1,1,0,1.000
CJ McCollum,1,1,0,1.000
Tyrese Haliburton,1,1,0,1.000
Maurice Harkless,1,1,0,1.000
Buddy Hield,1,1,0,1.000
Alex Len,1,1,0,1.000
Tristan Thompson,1,1,0,1.000
Dorian Finney-Smith,1,1,0,1.000
Justin Anderson,1,1,0,1.000
Amir Johnson,1,1,0,1.000
T.J. McConnell,1,1,0,1.000
Ben Simmons,1,1,0,1.000
J.J. Redick,1,1,0,1.000
Joel Embiid,1,1,0,1.000
Dario Šarić,1,1,0,1.000
Robert Covington,1,1,0,1.000
Timothé Luwawu-Cabarrot,1,1,0,1.000
Reggie Bullock,1,1,0,1.000
Damian Lillard,1,1,0,1.000
Spencer Dinwiddie,1,1,0,1.000
Shai Gilgeous-Alexander,1,1,0,1.000
Jalen Brunson,1,1,0,1.000
Dwight Powell,1,1,0,1.000
Maxi Kleber,1,1,0,1.000
Josh Green,1,1,0,1.000
Dāvis Bertāns,1,1,0,1.000
Trey Burke,1,1,0,1.000
Sterling Brown,1,1,0,1.000
Jalen Williams,1,1,0,1.000
Josh Giddey,1,1,0,1.000
Jaylin Williams,1,1,0,1.000
Kenrich Williams,1,1,0,1.000
Isaiah Joe,1,1,0,1.000
Aaron Wiggins,1,1,0,1.000
Mike Muscala,1,1,0,1.000
Tre Mann,1,1,0,1.000
Trent Forrest,1,1,0,1.000
Kentavious Caldwell-Pope,1,0,1,0.000
Brandon Ingram,1,0,1,0.000
Kyle Kuzma,1,0,1,0.000
Lonzo Ball,1,0,1,0.000
Brook Lopez,1,0,1,0.000
Julius Randle,1,0,1,0.000
Andrew Bogut,1,0,1,0.000
Corey Brewer,1,0,1,0.000
LeBron James,1,0,1,0.000
Dennis Schröder,1,0,1,0.000
Anthony Davis,1,0,1,0.000
Rui Hachimura,1,0,1,0.000
Patrick Beverley,1,0,1,0.000
Russell Westbrook,1,0,1,0.000
Troy Brown Jr.,1,0,1,0.000
Lonnie Walker IV,1,0,1,0.000
Thomas Bryant,1,0,1,0.000
Austin Reaves,1,0,1,0.000
Juancho Hernangómez,1,0,1,0.000
Eric Paschall,1,0,1,0.000
Danuel House Jr.,1,0,1,0.000
Ish Wainright,1,0,1,0.000
Thabo Sefolosha,1,0,1,0.000
Ricky Rubio,1,0,1,0.000
Derrick Favors,1,0,1,0.000
Rodney Hood,1,0,1,0.000
Ekpe Udoh,1,0,1,0.000
Alec Burks,1,0,1,0.000
Joe Johnson,1,0,1,0.000
Garrett Temple,1,0,1,0.000
Nickeil Alexander-Walker,1,0,1,0.000
Josh Hart,1,0,1,0.000
Devonte' Graham,1,0,1,0.000
Jonas Valančiūnas,1,0,1,0.000
Naji Marshall,1,0,1,0.000
Kira Lewis Jr.,1,0,1,0.000
Trey Murphy III,1,0,1,0.000
Tomáš Satoranský,1,0,1,0.000
Willy Hernangómez,1,0,1,0.000
Jaxson Hayes,1,0,1,0.000
Jose Alvarado,1,0,1,0.000
Juwan Morgan,1,0,1,0.000
Georges Niang,1,0,1,0.000
Ed Davis,1,0,1,0.000
Rayjon Tucker,1,0,1,0.000
Jarrell Brantley,1,0,1,0.000
Emmanuel Mudiay,1,0,1,0.000
Didi Louzada,1,0,1,0.000
Devin Booker,1,0,1,0.000
Grayson Allen,1,0,1,0.000
Eric Gordon,1,0,1,0.000
Drew Eubanks,1,0,1,0.000
Udoka Azubuike,1,0,1,0.000
Saben Lee,1,0,1,0.000
Jordan Goodwin,1,0,1,0.000
Chimezie Metu,1,0,1,0.000
Yuta Watanabe,1,0,1,0.000
Bol Bol,1,0,1,0.000
