Name,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS
Aaron Wiggins,1.0,OKC,2.0,5.0,0.400,1.0,1.0,1.000,0.0,0.0,0.400,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,5.0,4.0,2.6999999999999993
Alec Burks,1.0,UTA,3.0,8.0,0.375,1.0,3.0,0.333,3.0,4.0,0.375,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,10.0,-17.0,5.699999999999998
Alex Len,1.0,SAC,6.0,9.0,0.667,0.0,1.0,0.000,0.0,0.0,0.667,0.0,5.0,5.0,2.0,0.0,3.0,2.0,5.0,12.0,16.0,9.100000000000001
Amir Johnson,1.0,PHI,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,-10.0,-1.7000000000000002
Andre Iguodala,1.0,GSW,1.0,7.0,0.143,0.0,2.0,0.000,1.0,2.0,0.143,1.0,5.0,6.0,7.0,1.0,0.0,0.0,1.0,3.0,22.0,5.8
Andrew Bogut,1.0,LAL,3.0,5.0,0.600,0.0,0.0,0.000,0.0,0.0,0.600,4.0,6.0,10.0,2.0,1.0,2.0,0.0,2.0,6.0,-2.0,11.3
Anfernee Simons,1.0,POR,3.0,6.0,0.500,1.0,1.0,1.000,0.0,0.0,0.500,0.0,5.0,5.0,3.0,0.0,0.0,1.0,2.0,7.0,9.0,5.8
Anthony Davis,1.0,LAL,6.0,9.0,0.667,0.0,0.0,0.000,1.0,2.0,0.667,3.0,5.0,8.0,2.0,2.0,1.0,2.0,4.0,13.0,-4.0,12.800000000000002
Austin Reaves,1.0,LAL,0.0,2.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-7.0,-1.2
Ben Simmons,1.0,PHI,8.0,13.0,0.615,0.0,0.0,0.000,2.0,4.0,0.615,3.0,6.0,9.0,10.0,5.0,1.0,1.0,1.0,18.0,19.0,26.5
Blake Wesley,2.0,SAS,1.0,4.0,0.250,0.0,2.0,0.000,1.0,2.0,0.250,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,-8.0,2.3
